BHID,AT,DIP,AZ
GL9DH1,0,-80,135
GL9DH1,20,-80,135
GL9DH1,40,-80,135
GL9DH1,60,-80,135
GL9DH1,80,-80,135
GL9DH1,96.09,-80,135
GL9DH2,0,-80,135
GL9DH2,20,-80,135
GL9DH2,40,-80,135
GL9DH2,60,-80,135
GL9DH2,80,-80,135
GL9DH2,100,-80,135
GL9DH2,120,-80,135
GL9DH2,122.41,-80,135
GL9DH3,0,-80,135
GL9DH3,20,-80,135
GL9DH3,40,-80,135
GL9DH3,60,-80,135
GL9DH3,80,-80,135
GL9DH3,100,-80,135
GL9DH3,120,-80,135
GL9DH3,138.91,-80,135
GL10DH1,0,-80,135
GL10DH1,20,-80,135
GL10DH1,40,-80,135
GL10DH1,60,-80,135
GL10DH1,80,-80,135
GL10DH1,83.4,-80,135
GL10DH2,0,-80,135
GL10DH2,20,-80,135
GL10DH2,40,-80,135
GL10DH2,60,-80,135
GL10DH2,80,-80,135
GL10DH2,100,-80,135
GL10DH2,116.06,-80,135
GL10DH3,0,-80,135
GL10DH3,20,-80,135
GL10DH3,40,-80,135
GL10DH3,48.67,-80,135
GL11DH1,0,-80,135
GL11DH1,20,-80,135
GL11DH1,40,-80,135
GL11DH1,60,-80,135
GL11DH1,60.9,-80,135
GL11DH2,0,-80,135
GL11DH2,20,-80,135
GL11DH2,40,-80,135
GL11DH2,60,-80,135
GL11DH2,80,-80,135
GL11DH2,81.4,-80,135
GL11DH3,0,-80,135
GL11DH3,20,-80,135
GL11DH3,40,-80,135
GL11DH3,53.63,-80,135
GL11DH4,0,-80,135
GL11DH4,20,-80,135
GL11DH4,40,-80,135
GL11DH4,60,-80,135
GL11DH4,80,-80,135
GL11DH4,100,-80,135
GL11DH4,120,-80,135
GL11DH4,140,-80,135
GL11DH4,146.67,-80,135
GL12DH1,0,-80,135
GL12DH1,20,-80,135
GL12DH1,40,-80,135
GL12DH1,60,-80,135
GL12DH1,80,-80,135
GL12DH1,81.72,-80,135
GL12DH2,0,-80,135
GL12DH2,20,-80,135
GL12DH2,40,-80,135
GL12DH2,60,-80,135
GL12DH2,80,-80,135
GL12DH2,81.54,-80,135
GL12DH3,0,-80,135
GL12DH3,20,-80,135
GL12DH3,40,-80,135
GL12DH3,60,-80,135
GL12DH3,80,-80,135
GL12DH3,100,-80,135
GL12DH3,101.12,-80,135
GL13DH1,0,-80,135
GL13DH1,20,-80,135
GL13DH1,40,-80,135
GL13DH1,53.94,-80,135
GL13DH2,0,-80,135
GL13DH2,20,-80,135
GL13DH2,40,-80,135
GL13DH2,60,-80,135
GL13DH2,80,-80,135
GL13DH2,91.54,-80,135
GL13DH3,0,-80,135
GL13DH3,20,-80,135
GL13DH3,40,-80,135
GL13DH3,60,-80,135
GL13DH3,80,-80,135
GL13DH3,100,-80,135
GL13DH3,108.5,-80,135
