BHID,FROM,TO,rock_code
GL9DH1,0,12.76,BCS
GL9DH1,12.76,15.91,VA
GL9DH1,15.91,21.99,CA
GL9DH1,21.99,28.07,VA
GL9DH1,28.07,31.11,CA
GL9DH1,31.11,34.15,PG
GL9DH1,34.15,37.19,GN
GL9DH1,37.19,43.27,PG
GL9DH1,43.27,47.61,GN
GL9DH1,47.61,49.35,PG
GL9DH1,49.35,54.07,GN
GL9DH1,54.07,58.47,PG
GL9DH1,58.47,64.55,GN
GL9DH1,64.55,78.58,LST
GL9DH1,78.58,79.75,SCH
GL9DH1,79.75,96.09,GN
GL9DH2,0,31.29,RS
GL9DH2,31.29,34.33,VA
GL9DH2,34.33,52.57,LST
GL9DH2,52.57,55.61,LSTPG
GL9DH2,55.61,58.65,LSTSCH
GL9DH2,58.65,73.75,LST
GL9DH2,73.75,89.05,GN
GL9DH2,89.05,92.02,LSTGN
GL9DH2,92.02,101.21,LST
GL9DH2,101.21,122.41,GN
GL9DH3,0,36,VA
GL9DH3,36,40.11,VA
GL9DH3,40.11,49.43,LSTPG
GL9DH3,49.43,52.47,LSTGN
GL9DH3,52.47,57.58,LSTSCH
GL9DH3,57.58,58.47,PG
GL9DH3,58.47,61.55,LSTGN
GL9DH3,61.55,67.71,GN
GL9DH3,67.71,117.56,LST
GL9DH3,117.56,118.46,GN
GL9DH3,118.46,136.7,LST
GL9DH3,136.7,138.1,LSTGN
GL10DH1,0,17.32,VA
GL10DH1,17.32,19.16,QZ
GL10DH1,19.16,31.32,SCH
GL10DH1,31.32,45.92,GN
GL10DH1,45.92,73.96,GN
GL10DH1,73.96,80.04,LSTPG
GL10DH1,80.04,83.4,LSTGN
GL10DH2,0,18.94,VA
GL10DH2,18.94,26.24,LST
GL10DH2,26.24,28.28,LSTPG
GL10DH2,28.28,34.36,LSTSCH
GL10DH2,34.36,43.48,LST
GL10DH2,43.48,49.56,SCH
GL10DH2,49.56,85,GN
GL10DH2,85,107.44,LST
GL10DH2,107.44,110.46,LSTGN
GL10DH2,110.46,116.06,GN
GL10DH3,0,23.58,VA
GL10DH3,23.58,34.36,SCH
GL10DH3,34.36,41.33,GL
GL10DH3,41.33,48.67,PG
GL11DH1,0,15.87,VA
GL11DH1,15.87,21.78,SCH
GL11DH1,21.78,55.64,LST
GL11DH1,55.64,60.9,GN
GL11DH2,0,19.24,VA
GL11DH2,19.24,37.48,SCH
GL11DH2,37.48,43.56,PG
GL11DH2,43.56,81.4,LST
GL11DH3,0,10.04,RS
GL11DH3,10.04,31.32,LST
GL11DH3,31.32,34.36,SCH
GL11DH3,34.36,37.4,LSTGN
GL11DH3,37.4,43.48,GN
GL11DH3,43.48,53.53,LST
GL11DH4,0,22.2,VA
GL11DH4,22.2,95.95,GN
GL11DH4,95.95,99.09,LSTPG
GL11DH4,99.09,104,LSTSCH
GL11DH4,104,107.04,LST
GL11DH4,107.04,110.05,LSTPG
GL11DH4,110.05,136.36,LST
GL11DH4,136.36,146.67,GN
GL12DH1,0,6.68,VA
GL12DH1,6.68,34.36,LST
GL12DH1,34.36,46.32,SCH
GL12DH1,46.32,81.72,GN
GL12DH2,0,28.28,VA
GL12DH2,28.28,49.56,LST
GL12DH2,49.56,55.64,LSTPG
GL12DH2,55.64,67.58,LST
GL12DH2,67.58,81.54,GN
GL12DH3,0,26.24,VA
GL12DH3,26.24,30.92,SCH
GL12DH3,30.92,43.48,PG
GL12DH3,43.48,50.56,SCH
GL12DH3,50.56,87.87,LST
GL12DH3,87.87,101.12,GN
GL13DH1,0,10.04,VA
GL13DH1,10.04,41.2,LST
GL13DH1,41.2,43.48,GN
GL13DH1,43.48,46.22,SCH
GL13DH1,46.22,53.94,GN
GL13DH2,0,15.2,VA
GL13DH2,15.2,46.52,SCH
GL13DH2,46.52,84.21,LST
GL13DH2,84.21,91.54,GN
GL13DH3,0,28.28,VA
GL13DH3,28.28,46.37,SCH
GL13DH3,46.37,57.93,GN
GL13DH3,57.93,106.75,LST
GL13DH3,106.75,108.5,GN
